year,checkpoint,calendar_month,simulation_month,promotion,roster,target,cap,cash,runway,stability,free_agents,world_contracted
2071,December,December,552,BRAVE Combat Federation,142,144,168,57855465,3456000,99,409,1845
2071,December,December,552,Cage Warriors,158,160,184,49656026,3840000,99,409,1845
2071,December,December,552,KSW,154,160,184,53969660,3840000,99,409,1845
2071,December,December,552,Legacy Fighting Alliance,144,144,168,48677917,3456000,99,409,1845
2071,December,December,552,ONE Championship,183,200,224,92589072,4800000,99,409,1845
2071,December,December,552,Oktagon MMA,160,160,184,93655963,3840000,99,409,1845
2071,December,December,552,Professional Fighters League,186,200,224,87209050,4800000,99,409,1845
2071,December,December,552,RIZIN Fighting Federation,173,176,200,76160406,4224000,99,409,1845
2071,December,December,552,Ultimate Fighting Championship,258,280,304,120740187,6720000,99,409,1845
2072,July,July,559,Absolute Championship Akhmat,144,144,168,76301002,3456000,99,410,1849
2072,July,July,559,BAMMA,144,144,168,48925252,3456000,100,410,1849
2072,July,July,559,BRAVE Combat Federation,141,144,168,59186347,3456000,99,410,1849
2072,July,July,559,Cage Warriors,159,160,184,47437749,3840000,99,410,1849
2072,July,July,559,KSW,158,160,184,58759690,3840000,99,410,1849
2072,July,July,559,Legacy Fighting Alliance,141,144,168,51113563,3456000,99,410,1849
2072,July,July,559,ONE Championship,183,200,224,97029057,4800000,100,410,1849
2072,July,July,559,Oktagon MMA,159,160,184,86969895,3840000,99,410,1849
2072,July,July,559,Professional Fighters League,187,200,224,90043763,4800000,99,410,1849
2072,July,July,559,RIZIN Fighting Federation,174,176,200,77885510,4224000,99,410,1849
2072,July,July,559,Ultimate Fighting Championship,259,280,304,117586324,6720000,99,410,1849
2072,December,December,564,Absolute Championship Akhmat,144,144,168,74492795,3456000,99,412,1863
2072,December,December,564,BAMMA,143,144,168,47117223,3456000,99,412,1863
2072,December,December,564,BRAVE Combat Federation,144,144,168,63186801,3456000,99,412,1863
2072,December,December,564,Cage Warriors,159,160,184,46124753,3840000,99,412,1863
2072,December,December,564,KSW,160,160,184,54182497,3840000,98,412,1863
2072,December,December,564,Legacy Fighting Alliance,144,144,168,46742401,3456000,99,412,1863
2072,December,December,564,ONE Championship,186,200,224,99335367,4800000,99,412,1863
2072,December,December,564,Oktagon MMA,159,160,184,89895939,3840000,99,412,1863
2072,December,December,564,Professional Fighters League,187,200,224,88317463,4800000,99,412,1863
2072,December,December,564,RIZIN Fighting Federation,176,176,200,80365257,4224000,99,412,1863
2072,December,December,564,Ultimate Fighting Championship,261,280,304,127571690,6720000,99,412,1863
2073,July,July,571,Absolute Championship Akhmat,144,144,168,77095018,3456000,100,414,1869
2073,July,July,571,BAMMA,144,144,168,43277682,3456000,99,414,1869
2073,July,July,571,BRAVE Combat Federation,144,144,168,63894486,3456000,100,414,1869
2073,July,July,571,Cage Warriors,160,160,184,44980328,3840000,99,414,1869
2073,July,July,571,KSW,160,160,184,56356604,3840000,99,414,1869
2073,July,July,571,Legacy Fighting Alliance,144,144,168,48346902,3456000,99,414,1869
2073,July,July,571,ONE Championship,188,200,224,97968645,4800000,100,414,1869
2073,July,July,571,Oktagon MMA,160,160,184,83937482,3840000,99,414,1869
2073,July,July,571,Professional Fighters League,189,200,224,98057802,4800000,100,414,1869
2073,July,July,571,RIZIN Fighting Federation,176,176,200,80771796,4224000,99,414,1869
2073,July,July,571,Ultimate Fighting Championship,260,280,304,130683062,6720000,99,414,1869
2073,December,December,576,Absolute Championship Akhmat,144,144,168,70389839,3456000,99,414,1873
2073,December,December,576,BAMMA,143,144,168,45935513,3456000,99,414,1873
2073,December,December,576,BRAVE Combat Federation,144,144,168,67045560,3456000,99,414,1873
2073,December,December,576,Cage Warriors,160,160,184,45953053,3840000,99,414,1873
2073,December,December,576,KSW,160,160,184,53309782,3840000,99,414,1873
2073,December,December,576,Legacy Fighting Alliance,143,144,168,46882851,3456000,99,414,1873
2073,December,December,576,ONE Championship,193,200,224,102613938,4800000,99,414,1873
2073,December,December,576,Oktagon MMA,160,160,184,75907309,3840000,98,414,1873
2073,December,December,576,Professional Fighters League,189,200,224,107858542,4800000,99,414,1873
2073,December,December,576,RIZIN Fighting Federation,175,176,200,78535362,4224000,99,414,1873
2073,December,December,576,Ultimate Fighting Championship,262,280,304,122338198,6720000,98,414,1873
2074,July,July,583,Absolute Championship Akhmat,144,144,168,72923409,3456000,100,414,1883
2074,July,July,583,BAMMA,143,144,168,45575457,3456000,99,414,1883
2074,July,July,583,BRAVE Combat Federation,144,144,168,68886955,3456000,99,414,1883
2074,July,July,583,Cage Warriors,160,160,184,48910046,3840000,100,414,1883
2074,July,July,583,KSW,160,160,184,53417958,3840000,100,414,1883
2074,July,July,583,Legacy Fighting Alliance,144,144,168,47839632,3456000,100,414,1883
2074,July,July,583,ONE Championship,194,200,224,97605229,4800000,99,414,1883
2074,July,July,583,Oktagon MMA,160,160,184,82787093,3840000,99,414,1883
2074,July,July,583,Professional Fighters League,191,200,224,108344432,4800000,99,414,1883
2074,July,July,583,RIZIN Fighting Federation,176,176,200,75886954,4224000,99,414,1883
2074,July,July,583,Ultimate Fighting Championship,267,280,304,124877639,6720000,100,414,1883
2074,December,December,588,Absolute Championship Akhmat,143,144,168,68806689,3456000,99,411,1885
2074,December,December,588,BAMMA,144,144,168,42822664,3456000,99,411,1885
2074,December,December,588,BRAVE Combat Federation,144,144,168,62729994,3456000,99,411,1885
2074,December,December,588,Cage Warriors,159,160,184,47571384,3840000,99,411,1885
2074,December,December,588,KSW,159,160,184,47807049,3840000,98,411,1885
2074,December,December,588,Legacy Fighting Alliance,144,144,168,48057791,3456000,99,411,1885
2074,December,December,588,ONE Championship,198,200,224,90260831,4800000,99,411,1885
2074,December,December,588,Oktagon MMA,159,160,184,90387826,3840000,99,411,1885
2074,December,December,588,Professional Fighters League,193,200,224,111288280,4800000,99,411,1885
2074,December,December,588,RIZIN Fighting Federation,176,176,200,71921290,4224000,99,411,1885
2074,December,December,588,Ultimate Fighting Championship,266,280,304,123164661,6720000,99,411,1885
2075,July,July,595,Absolute Championship Akhmat,144,144,168,71115598,3456000,100,413,1894
2075,July,July,595,BAMMA,144,144,168,45275360,3456000,100,413,1894
2075,July,July,595,BRAVE Combat Federation,144,144,168,67849337,3456000,100,413,1894
2075,July,July,595,Cage Warriors,160,160,184,48760460,3840000,100,413,1894
2075,July,July,595,KSW,160,160,184,48623543,3840000,100,413,1894
2075,July,July,595,Legacy Fighting Alliance,141,144,168,49395980,3456000,100,413,1894
2075,July,July,595,ONE Championship,200,200,224,94683613,4800000,100,413,1894
2075,July,July,595,Oktagon MMA,160,160,184,89642557,3840000,100,413,1894
2075,July,July,595,Professional Fighters League,198,200,224,104305993,4800000,99,413,1894
2075,July,July,595,RIZIN Fighting Federation,176,176,200,76682728,4224000,100,413,1894
2075,July,July,595,Ultimate Fighting Championship,267,280,304,122136540,6720000,99,413,1894
2075,December,December,600,Absolute Championship Akhmat,144,144,168,61727131,3456000,98,411,1886
2075,December,December,600,BAMMA,144,144,168,44538246,3456000,99,411,1886
2075,December,December,600,BRAVE Combat Federation,144,144,168,67560570,3456000,99,411,1886
2075,December,December,600,Cage Warriors,159,160,184,50073266,3840000,99,411,1886
2075,December,December,600,KSW,159,160,184,52213702,3840000,99,411,1886
2075,December,December,600,Legacy Fighting Alliance,142,144,168,48755844,3456000,99,411,1886
2075,December,December,600,ONE Championship,197,200,224,95465213,4800000,99,411,1886
2075,December,December,600,Oktagon MMA,158,160,184,93881834,3840000,99,411,1886
2075,December,December,600,Professional Fighters League,200,200,224,99045392,4800000,99,411,1886
2075,December,December,600,RIZIN Fighting Federation,174,176,200,76818143,4224000,99,411,1886
2075,December,December,600,Ultimate Fighting Championship,265,280,304,115791202,6720000,99,411,1886
2076,July,July,607,Absolute Championship Akhmat,142,144,168,65386953,3456000,99,410,1889
2076,July,July,607,BAMMA,143,144,168,47573071,3456000,100,410,1889
2076,July,July,607,BRAVE Combat Federation,144,144,168,69452138,3456000,100,410,1889
2076,July,July,607,Cage Warriors,159,160,184,54140719,3840000,100,410,1889
2076,July,July,607,KSW,160,160,184,63730930,3840000,100,410,1889
2076,July,July,607,Legacy Fighting Alliance,144,144,168,51943887,3456000,99,410,1889
2076,July,July,607,ONE Championship,199,200,224,94690043,4800000,99,410,1889
2076,July,July,607,Oktagon MMA,159,160,184,88056487,3840000,99,410,1889
2076,July,July,607,Professional Fighters League,200,200,224,90844060,4800000,98,410,1889
2076,July,July,607,RIZIN Fighting Federation,174,176,200,74905561,4224000,99,410,1889
2076,July,July,607,Ultimate Fighting Championship,265,280,304,115877570,6720000,100,410,1889
2076,December,December,612,Absolute Championship Akhmat,144,144,168,63858644,3456000,99,411,1891
2076,December,December,612,BAMMA,144,144,168,43657212,3456000,99,411,1891
2076,December,December,612,BRAVE Combat Federation,144,144,168,65741762,3456000,99,411,1891
2076,December,December,612,Cage Warriors,157,160,184,56054256,3840000,99,411,1891
2076,December,December,612,KSW,160,160,184,60260312,3840000,99,411,1891
2076,December,December,612,Legacy Fighting Alliance,144,144,168,51230947,3456000,99,411,1891
2076,December,December,612,ONE Championship,200,200,224,93749119,4800000,99,411,1891
2076,December,December,612,Oktagon MMA,157,160,184,85735334,3840000,99,411,1891
2076,December,December,612,Professional Fighters League,200,200,224,91282518,4800000,99,411,1891
2076,December,December,612,RIZIN Fighting Federation,175,176,200,77025034,4224000,99,411,1891
2076,December,December,612,Ultimate Fighting Championship,266,280,304,116555760,6720000,99,411,1891
2077,July,July,619,Absolute Championship Akhmat,143,144,168,60558335,3456000,99,411,1882
2077,July,July,619,BAMMA,144,144,168,46916794,3456000,100,411,1882
2077,July,July,619,BRAVE Combat Federation,144,144,168,61293399,3456000,99,411,1882
2077,July,July,619,Cage Warriors,157,160,184,57345275,3840000,100,411,1882
2077,July,July,619,KSW,160,160,184,64042794,3840000,99,411,1882
2077,July,July,619,Legacy Fighting Alliance,144,144,168,54248470,3456000,100,411,1882
2077,July,July,619,ONE Championship,197,200,224,100443537,4800000,100,411,1882
2077,July,July,619,Oktagon MMA,157,160,184,89771856,3840000,99,411,1882
2077,July,July,619,Professional Fighters League,199,200,224,90806087,4800000,99,411,1882
2077,July,July,619,RIZIN Fighting Federation,173,176,200,79031845,4224000,100,411,1882
2077,July,July,619,Ultimate Fighting Championship,264,280,304,119328255,6720000,99,411,1882
2077,December,December,624,Absolute Championship Akhmat,141,144,168,63716146,3456000,99,413,1880
2077,December,December,624,BAMMA,141,144,168,47755984,3456000,99,413,1880
2077,December,December,624,BRAVE Combat Federation,144,144,168,63769283,3456000,99,413,1880
2077,December,December,624,Cage Warriors,156,160,184,56483077,3840000,99,413,1880
2077,December,December,624,KSW,160,160,184,61385059,3840000,99,413,1880
2077,December,December,624,Legacy Fighting Alliance,141,144,168,53853864,3456000,99,413,1880
2077,December,December,624,ONE Championship,198,200,224,102163392,4800000,99,413,1880
2077,December,December,624,Oktagon MMA,160,160,184,85641918,3840000,99,413,1880
2077,December,December,624,Professional Fighters League,200,200,224,86627664,4800000,99,413,1880
2077,December,December,624,RIZIN Fighting Federation,176,176,200,71190115,4224000,99,413,1880
2077,December,December,624,Ultimate Fighting Championship,263,280,304,118078883,6720000,99,413,1880
2078,July,July,631,Absolute Championship Akhmat,140,144,168,69721954,3456000,100,412,1874
2078,July,July,631,BAMMA,143,144,168,48925707,3456000,100,412,1874
2078,July,July,631,BRAVE Combat Federation,144,144,168,65575126,3456000,100,412,1874
2078,July,July,631,Cage Warriors,160,160,184,56208632,3840000,100,412,1874
2078,July,July,631,KSW,160,160,184,65852352,3840000,100,412,1874
2078,July,July,631,Legacy Fighting Alliance,136,144,168,53327995,3456000,100,412,1874
2078,July,July,631,ONE Championship,199,200,224,99687618,4800000,99,412,1874
2078,July,July,631,Oktagon MMA,160,160,184,94728918,3840000,100,412,1874
2078,July,July,631,Professional Fighters League,198,200,224,83333468,4800000,99,412,1874
2078,July,July,631,RIZIN Fighting Federation,176,176,200,65700735,4224000,99,412,1874
2078,July,July,631,Ultimate Fighting Championship,258,280,304,128861819,6720000,100,412,1874
2078,December,December,636,Absolute Championship Akhmat,144,144,168,69356513,3456000,99,409,1876
2078,December,December,636,BAMMA,144,144,168,48954676,3456000,99,409,1876
2078,December,December,636,BRAVE Combat Federation,144,144,168,67316383,3456000,99,409,1876
2078,December,December,636,Cage Warriors,160,160,184,53599592,3840000,99,409,1876
2078,December,December,636,KSW,158,160,184,66655155,3840000,99,409,1876
2078,December,December,636,Legacy Fighting Alliance,140,144,168,50012193,3456000,99,409,1876
2078,December,December,636,ONE Championship,195,200,224,96394526,4800000,99,409,1876
2078,December,December,636,Oktagon MMA,160,160,184,89344873,3840000,99,409,1876
2078,December,December,636,Professional Fighters League,197,200,224,88819751,4800000,99,409,1876
2078,December,December,636,RIZIN Fighting Federation,176,176,200,68206037,4224000,99,409,1876
2078,December,December,636,Ultimate Fighting Championship,258,280,304,125367690,6720000,99,409,1876
2079,July,July,643,Absolute Championship Akhmat,142,144,168,61588573,3456000,98,411,1877
2079,July,July,643,BAMMA,143,144,168,50291809,3456000,100,411,1877
2079,July,July,643,BRAVE Combat Federation,144,144,168,72745199,3456000,100,411,1877
2079,July,July,643,Cage Warriors,160,160,184,53002246,3840000,100,411,1877
2079,July,July,643,KSW,160,160,184,65785708,3840000,99,411,1877
2079,July,July,643,Legacy Fighting Alliance,142,144,168,48827882,3456000,99,411,1877
2079,July,July,643,ONE Championship,200,200,224,98183245,4800000,100,411,1877
2079,July,July,643,Oktagon MMA,160,160,184,96206634,3840000,100,411,1877
2079,July,July,643,Professional Fighters League,193,200,224,90168674,4800000,99,411,1877
2079,July,July,643,RIZIN Fighting Federation,176,176,200,65079909,4224000,100,411,1877
2079,July,July,643,Ultimate Fighting Championship,257,280,304,126108956,6720000,100,411,1877
2079,December,December,648,Absolute Championship Akhmat,144,144,168,61646813,3456000,99,409,1870
2079,December,December,648,BAMMA,143,144,168,44108423,3456000,98,409,1870
2079,December,December,648,BRAVE Combat Federation,143,144,168,76882247,3456000,99,409,1870
2079,December,December,648,Cage Warriors,159,160,184,51570291,3840000,99,409,1870
2079,December,December,648,KSW,155,160,184,61473550,3840000,99,409,1870
2079,December,December,648,Legacy Fighting Alliance,143,144,168,50848027,3456000,99,409,1870
2079,December,December,648,ONE Championship,199,200,224,94600572,4800000,99,409,1870
2079,December,December,648,Oktagon MMA,158,160,184,96486469,3840000,99,409,1870
2079,December,December,648,Professional Fighters League,195,200,224,87473442,4800000,99,409,1870
2079,December,December,648,RIZIN Fighting Federation,173,176,200,70436081,4224000,99,409,1870
2079,December,December,648,Ultimate Fighting Championship,258,280,304,138072677,6720000,99,409,1870
2080,July,July,655,Absolute Championship Akhmat,142,144,168,67280239,3456000,100,408,1860
2080,July,July,655,BAMMA,143,144,168,46203945,3456000,100,408,1860
2080,July,July,655,BRAVE Combat Federation,141,144,168,72325631,3456000,100,408,1860
2080,July,July,655,Cage Warriors,159,160,184,56454121,3840000,100,408,1860
2080,July,July,655,KSW,153,160,184,55933037,3840000,98,408,1860
2080,July,July,655,Legacy Fighting Alliance,144,144,168,55926357,3456000,100,408,1860
2080,July,July,655,ONE Championship,199,200,224,91737563,4800000,99,408,1860
2080,July,July,655,Oktagon MMA,158,160,184,97464466,3840000,100,408,1860
2080,July,July,655,Professional Fighters League,193,200,224,88461487,4800000,99,408,1860
2080,July,July,655,RIZIN Fighting Federation,170,176,200,75392484,4224000,100,408,1860
2080,July,July,655,Ultimate Fighting Championship,258,280,304,133968286,6720000,100,408,1860
2080,December,December,660,Absolute Championship Akhmat,143,144,168,65611378,3456000,99,409,1860
2080,December,December,660,BAMMA,144,144,168,43546969,3456000,99,409,1860
2080,December,December,660,BRAVE Combat Federation,144,144,168,66799433,3456000,99,409,1860
2080,December,December,660,Cage Warriors,158,160,184,54662848,3840000,99,409,1860
2080,December,December,660,KSW,150,160,184,57905667,3840000,99,409,1860
2080,December,December,660,Legacy Fighting Alliance,144,144,168,57958031,3456000,99,409,1860
2080,December,December,660,ONE Championship,197,200,224,88355165,4800000,99,409,1860
2080,December,December,660,Oktagon MMA,156,160,184,94193330,3840000,99,409,1860
2080,December,December,660,Professional Fighters League,196,200,224,78532569,4800000,98,409,1860
2080,December,December,660,RIZIN Fighting Federation,171,176,200,68971979,4224000,98,409,1860
2080,December,December,660,Ultimate Fighting Championship,257,280,304,131064604,6720000,99,409,1860
2081,July,July,667,Absolute Championship Akhmat,143,144,168,60873809,3456000,99,408,1855
2081,July,July,667,BAMMA,142,144,168,41394757,3456000,99,408,1855
2081,July,July,667,BRAVE Combat Federation,141,144,168,67229230,3456000,100,408,1855
2081,July,July,667,Cage Warriors,153,160,184,54718498,3840000,100,408,1855
2081,July,July,667,KSW,150,160,184,59831424,3840000,99,408,1855
2081,July,July,667,Legacy Fighting Alliance,144,144,168,56837127,3456000,98,408,1855
2081,July,July,667,ONE Championship,199,200,224,93729998,4800000,99,408,1855
2081,July,July,667,Oktagon MMA,159,160,184,100687489,3840000,100,408,1855
2081,July,July,667,Professional Fighters League,197,200,224,77752587,4800000,99,408,1855
2081,July,July,667,RIZIN Fighting Federation,169,176,200,64794291,4224000,98,408,1855
2081,July,July,667,Ultimate Fighting Championship,258,280,304,138668570,6720000,99,408,1855
2081,December,December,672,Absolute Championship Akhmat,144,144,168,62389111,3456000,99,409,1858
2081,December,December,672,BAMMA,141,144,168,38128842,3456000,98,409,1858
2081,December,December,672,BRAVE Combat Federation,143,144,168,69907111,3456000,99,409,1858
2081,December,December,672,Cage Warriors,155,160,184,54136214,3840000,99,409,1858
2081,December,December,672,KSW,154,160,184,56203984,3840000,98,409,1858
2081,December,December,672,Legacy Fighting Alliance,144,144,168,56687878,3456000,99,409,1858
2081,December,December,672,ONE Championship,200,200,224,88722924,4800000,99,409,1858
2081,December,December,672,Oktagon MMA,159,160,184,97989740,3840000,99,409,1858
2081,December,December,672,Professional Fighters League,191,200,224,81414907,4800000,99,409,1858
2081,December,December,672,RIZIN Fighting Federation,170,176,200,60765296,4224000,99,409,1858
2081,December,December,672,Ultimate Fighting Championship,257,280,304,132594965,6720000,99,409,1858
2082,July,July,679,Absolute Championship Akhmat,144,144,168,61639366,3456000,99,409,1852
2082,July,July,679,BAMMA,144,144,168,43458929,3456000,99,409,1852
2082,July,July,679,BRAVE Combat Federation,144,144,168,70543653,3456000,100,409,1852
2082,July,July,679,Cage Warriors,158,160,184,54991455,3840000,100,409,1852
2082,July,July,679,KSW,155,160,184,57460142,3840000,99,409,1852
2082,July,July,679,Legacy Fighting Alliance,144,144,168,57272842,3456000,100,409,1852
2082,July,July,679,ONE Championship,195,200,224,90062748,4800000,100,409,1852
2082,July,July,679,Oktagon MMA,159,160,184,102073621,3840000,100,409,1852
2082,July,July,679,Professional Fighters League,185,200,224,87639162,4800000,100,409,1852
2082,July,July,679,RIZIN Fighting Federation,169,176,200,61570670,4224000,99,409,1852
2082,July,July,679,Ultimate Fighting Championship,255,280,304,143106218,6720000,99,409,1852
2082,December,December,684,Absolute Championship Akhmat,143,144,168,62528471,3456000,99,409,1857
2082,December,December,684,BAMMA,144,144,168,46718728,3456000,99,409,1857
2082,December,December,684,BRAVE Combat Federation,143,144,168,65322103,3456000,99,409,1857
2082,December,December,684,Cage Warriors,159,160,184,53745811,3840000,99,409,1857
2082,December,December,684,KSW,159,160,184,61018673,3840000,99,409,1857
2082,December,December,684,Legacy Fighting Alliance,142,144,168,57038901,3456000,99,409,1857
2082,December,December,684,ONE Championship,194,200,224,78493193,4800000,98,409,1857
2082,December,December,684,Oktagon MMA,160,160,184,104684422,3840000,99,409,1857
2082,December,December,684,Professional Fighters League,187,200,224,87482313,4800000,99,409,1857
2082,December,December,684,RIZIN Fighting Federation,168,176,200,64636408,4224000,99,409,1857
2082,December,December,684,Ultimate Fighting Championship,258,280,304,139522876,6720000,99,409,1857
2083,July,July,691,Absolute Championship Akhmat,144,144,168,65986328,3456000,100,410,1852
2083,July,July,691,BAMMA,144,144,168,49291660,3456000,100,410,1852
2083,July,July,691,BRAVE Combat Federation,144,144,168,62946650,3456000,100,410,1852
2083,July,July,691,Cage Warriors,157,160,184,56669480,3840000,99,410,1852
2083,July,July,691,KSW,156,160,184,62102655,3840000,100,410,1852
2083,July,July,691,Legacy Fighting Alliance,142,144,168,54783350,3456000,100,410,1852
2083,July,July,691,ONE Championship,193,200,224,86645890,4800000,100,410,1852
2083,July,July,691,Oktagon MMA,159,160,184,106700062,3840000,100,410,1852
2083,July,July,691,Professional Fighters League,187,200,224,84966843,4800000,100,410,1852
2083,July,July,691,RIZIN Fighting Federation,168,176,200,62370341,4224000,99,410,1852
2083,July,July,691,Ultimate Fighting Championship,258,280,304,142188122,6720000,99,410,1852
2083,December,December,696,Absolute Championship Akhmat,144,144,168,67021714,3456000,99,411,1862
2083,December,December,696,BAMMA,143,144,168,47309369,3456000,99,411,1862
2083,December,December,696,BRAVE Combat Federation,143,144,168,63886299,3456000,99,411,1862
2083,December,December,696,Cage Warriors,160,160,184,53539476,3840000,99,411,1862
2083,December,December,696,KSW,157,160,184,62699141,3840000,99,411,1862
2083,December,December,696,Legacy Fighting Alliance,143,144,168,51422109,3456000,99,411,1862
2083,December,December,696,ONE Championship,192,200,224,87789102,4800000,99,411,1862
2083,December,December,696,Oktagon MMA,160,160,184,105202247,3840000,99,411,1862
2083,December,December,696,Professional Fighters League,188,200,224,92079520,4800000,99,411,1862
2083,December,December,696,RIZIN Fighting Federation,172,176,200,59214698,4224000,98,411,1862
2083,December,December,696,Ultimate Fighting Championship,260,280,304,136193344,6720000,99,411,1862
2084,July,July,703,Absolute Championship Akhmat,144,144,168,70461319,3456000,100,410,1847
2084,July,July,703,BAMMA,144,144,168,47926782,3456000,100,410,1847
2084,July,July,703,BRAVE Combat Federation,143,144,168,67151162,3456000,100,410,1847
2084,July,July,703,Cage Warriors,160,160,184,48438580,3840000,98,410,1847
2084,July,July,703,KSW,155,160,184,64015362,3840000,99,410,1847
2084,July,July,703,Legacy Fighting Alliance,143,144,168,54275375,3456000,100,410,1847
2084,July,July,703,ONE Championship,186,200,224,99456435,4800000,99,410,1847
2084,July,July,703,Oktagon MMA,157,160,184,104635981,3840000,100,410,1847
2084,July,July,703,Professional Fighters League,190,200,224,88963224,4800000,100,410,1847
2084,July,July,703,RIZIN Fighting Federation,172,176,200,58471715,4224000,98,410,1847
2084,July,July,703,Ultimate Fighting Championship,253,280,304,141350730,6720000,99,410,1847
2084,December,December,708,Absolute Championship Akhmat,144,144,168,69429124,3456000,99,409,1857
2084,December,December,708,BAMMA,144,144,168,47414247,3456000,99,409,1857
2084,December,December,708,BRAVE Combat Federation,143,144,168,65729701,3456000,99,409,1857
2084,December,December,708,Cage Warriors,160,160,184,49505330,3840000,99,409,1857
2084,December,December,708,KSW,157,160,184,62453321,3840000,99,409,1857
2084,December,December,708,Legacy Fighting Alliance,143,144,168,51415750,3456000,99,409,1857
2084,December,December,708,ONE Championship,186,200,224,97568806,4800000,99,409,1857
2084,December,December,708,Oktagon MMA,158,160,184,96913853,3840000,99,409,1857
2084,December,December,708,Professional Fighters League,191,200,224,86266949,4800000,99,409,1857
2084,December,December,708,RIZIN Fighting Federation,173,176,200,54700147,4224000,97,409,1857
2084,December,December,708,Ultimate Fighting Championship,258,280,304,136180894,6720000,99,409,1857
2085,July,July,715,Absolute Championship Akhmat,144,144,168,75505801,3456000,100,412,1860
2085,July,July,715,BAMMA,139,144,168,45879991,3456000,99,412,1860
2085,July,July,715,BRAVE Combat Federation,144,144,168,64099036,3456000,100,412,1860
2085,July,July,715,Cage Warriors,160,160,184,49395321,3840000,100,412,1860
2085,July,July,715,KSW,160,160,184,66178766,3840000,100,412,1860
2085,July,July,715,Legacy Fighting Alliance,144,144,168,54839295,3456000,100,412,1860
2085,July,July,715,ONE Championship,187,200,224,104515993,4800000,100,412,1860
2085,July,July,715,Oktagon MMA,160,160,184,92404366,3840000,99,412,1860
2085,July,July,715,Professional Fighters League,192,200,224,87205362,4800000,99,412,1860
2085,July,July,715,RIZIN Fighting Federation,172,176,200,59972386,4224000,100,412,1860
2085,July,July,715,Ultimate Fighting Championship,258,280,304,143194811,6720000,99,412,1860
2085,December,December,720,Absolute Championship Akhmat,142,144,168,70898645,3456000,99,409,1864
2085,December,December,720,BAMMA,142,144,168,44774007,3456000,99,409,1864
2085,December,December,720,BRAVE Combat Federation,141,144,168,62183100,3456000,99,409,1864
2085,December,December,720,Cage Warriors,160,160,184,48216510,3840000,99,409,1864
2085,December,December,720,KSW,159,160,184,62112710,3840000,99,409,1864
2085,December,December,720,Legacy Fighting Alliance,144,144,168,54665032,3456000,99,409,1864
2085,December,December,720,ONE Championship,189,200,224,90704953,4800000,98,409,1864
2085,December,December,720,Oktagon MMA,160,160,184,85213831,3840000,99,409,1864
2085,December,December,720,Professional Fighters League,193,200,224,92989401,4800000,99,409,1864
2085,December,December,720,RIZIN Fighting Federation,175,176,200,66824007,4224000,99,409,1864
2085,December,December,720,Ultimate Fighting Championship,259,280,304,136251682,6720000,99,409,1864
2086,July,July,727,Absolute Championship Akhmat,144,144,168,67150689,3456000,99,410,1861
2086,July,July,727,BAMMA,143,144,168,48506645,3456000,100,410,1861
2086,July,July,727,BRAVE Combat Federation,141,144,168,60734391,3456000,100,410,1861
2086,July,July,727,Cage Warriors,160,160,184,50675100,3840000,100,410,1861
2086,July,July,727,KSW,160,160,184,66815547,3840000,100,410,1861
2086,July,July,727,Legacy Fighting Alliance,144,144,168,54954603,3456000,99,410,1861
2086,July,July,727,ONE Championship,189,200,224,83416760,4800000,97,410,1861
2086,July,July,727,Oktagon MMA,157,160,184,80512225,3840000,98,410,1861
2086,July,July,727,Professional Fighters League,189,200,224,87879195,4800000,99,410,1861
2086,July,July,727,RIZIN Fighting Federation,174,176,200,71892068,4224000,100,410,1861
2086,July,July,727,Ultimate Fighting Championship,260,280,304,146407302,6720000,100,410,1861
2086,December,December,732,Absolute Championship Akhmat,143,144,168,58388426,3456000,97,411,1860
2086,December,December,732,BAMMA,143,144,168,45724915,3456000,99,411,1860
2086,December,December,732,BRAVE Combat Federation,141,144,168,61266894,3456000,99,411,1860
2086,December,December,732,Cage Warriors,159,160,184,46663819,3840000,99,411,1860
2086,December,December,732,KSW,160,160,184,67363421,3840000,99,411,1860
2086,December,December,732,Legacy Fighting Alliance,144,144,168,52386132,3456000,99,411,1860
2086,December,December,732,ONE Championship,190,200,224,80140028,4800000,97,411,1860
2086,December,December,732,Oktagon MMA,155,160,184,82061501,3840000,99,411,1860
2086,December,December,732,Professional Fighters League,190,200,224,87189293,4800000,99,411,1860
2086,December,December,732,RIZIN Fighting Federation,176,176,200,67835989,4224000,99,411,1860
2086,December,December,732,Ultimate Fighting Championship,259,280,304,150703152,6720000,99,411,1860
2087,July,July,739,Absolute Championship Akhmat,144,144,168,61477081,3456000,100,410,1861
2087,July,July,739,BAMMA,144,144,168,45825818,3456000,99,410,1861
2087,July,July,739,BRAVE Combat Federation,143,144,168,59871877,3456000,99,410,1861
2087,July,July,739,Cage Warriors,159,160,184,45828451,3840000,98,410,1861
2087,July,July,739,KSW,159,160,184,68066140,3840000,100,410,1861
2087,July,July,739,Legacy Fighting Alliance,144,144,168,53774727,3456000,100,410,1861
2087,July,July,739,ONE Championship,189,200,224,94113684,4800000,100,410,1861
2087,July,July,739,Oktagon MMA,158,160,184,91431482,3840000,100,410,1861
2087,July,July,739,Professional Fighters League,187,200,224,86635319,4800000,99,410,1861
2087,July,July,739,RIZIN Fighting Federation,176,176,200,68940098,4224000,100,410,1861
2087,July,July,739,Ultimate Fighting Championship,258,280,304,137715172,6720000,99,410,1861
2087,December,December,744,Absolute Championship Akhmat,141,144,168,63311555,3456000,99,409,1856
