year,checkpoint,calendar_month,simulation_month,promotion,roster,target,cap,cash,runway,stability,free_agents,world_contracted
2049,December,December,288,Cage Warriors,140,160,184,22357503,3840000,46,404,1658
2049,December,December,288,KSW,133,160,184,22927780,3840000,39,404,1658
2049,December,December,288,Legacy Fighting Alliance,128,144,168,24968286,3456000,48,404,1658
2049,December,December,288,ONE Championship,174,200,224,46190074,4800000,53,404,1658
2049,December,December,288,Oktagon MMA,139,160,184,29388316,3840000,40,404,1658
2049,December,December,288,Professional Fighters League,172,200,224,45692207,4800000,61,404,1658
2049,December,December,288,RIZIN Fighting Federation,154,176,200,42331734,4224000,61,404,1658
2049,December,December,288,Ultimate Fighting Championship,235,280,304,64937169,6720000,46,404,1658
2050,July,July,295,Absolute Championship Akhmat,133,144,168,35611358,3456000,49,408,1724
2050,July,July,295,BAMMA,129,144,168,20541311,3456000,43,408,1724
2050,July,July,295,BRAVE Combat Federation,134,144,168,49906117,3456000,64,408,1724
2050,July,July,295,Cage Warriors,143,160,184,23428468,3840000,49,408,1724
2050,July,July,295,KSW,140,160,184,22222322,3840000,40,408,1724
2050,July,July,295,Legacy Fighting Alliance,134,144,168,30001849,3456000,52,408,1724
2050,July,July,295,ONE Championship,182,200,224,47050699,4800000,55,408,1724
2050,July,July,295,Oktagon MMA,144,160,184,34613298,3840000,44,408,1724
2050,July,July,295,Professional Fighters League,181,200,224,43550526,4800000,62,408,1724
2050,July,July,295,RIZIN Fighting Federation,156,176,200,40650169,4224000,63,408,1724
2050,July,July,295,Ultimate Fighting Championship,248,280,304,76754005,6720000,50,408,1724
2050,December,December,300,Absolute Championship Akhmat,138,144,168,36981038,3456000,51,408,1773
2050,December,December,300,BAMMA,133,144,168,19692054,3456000,45,408,1773
2050,December,December,300,BRAVE Combat Federation,139,144,168,53143859,3456000,69,408,1773
2050,December,December,300,Cage Warriors,148,160,184,24199239,3840000,51,408,1773
2050,December,December,300,KSW,144,160,184,32967172,3840000,45,408,1773
2050,December,December,300,Legacy Fighting Alliance,139,144,168,31743486,3456000,55,408,1773
2050,December,December,300,ONE Championship,185,200,224,49154671,4800000,57,408,1773
